Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-12-11,2019,12,11,Wednesday,49,2019-49,296.0,296.35,293.05,295.3,1749800,280.81,-0.001622966219777755,282.8521428571429,283.346
2019-12-12,2019,12,12,Thursday,49,2019-49,295.27,297.76,294.12,297.34,2742700,282.75,0.006908004129761558,282.6535714285714,283.5904
2019-12-13,2019,12,13,Friday,49,2019-49,294.64,295.0,289.1,291.87,5195600,277.55,-0.01839631113179574,282.1485714285715,283.657
2019-12-16,2019,12,16,Monday,50,2019-50,293.03,294.46,292.85,293.5,2410000,279.1,0.0055846197439124445,281.7721428571429,283.704
2019-12-17,2019,12,17,Tuesday,50,2019-50,293.5,296.3,292.75,295.55,2474100,281.05,0.006984923914299834,281.3857142857143,283.7568
2019-12-18,2019,12,18,Wednesday,50,2019-50,295.99,296.36,291.82,291.87,3309800,277.55,-0.012451555716938456,280.7821428571429,283.7686
2019-12-19,2019,12,19,Thursday,50,2019-50,292.06,293.81,291.5,293.71,2333600,279.3,0.006304165946002582,280.3678571428572,283.7202
2019-12-20,2019,12,20,Friday,50,2019-50,293.85,295.02,292.78,294.83,4866500,280.36,0.0038132836098954126,280.19428571428574,283.6886
2019-12-23,2019,12,23,Monday,51,2019-51,294.91,295.31,293.03,293.31,1309800,278.92,-0.005155301259821887,280.0342857142857,283.61940000000004
2019-12-24,2019,12,24,Tuesday,51,2019-51,293.91,294.45,293.36,294.23,543600,279.79,0.0031364978341796856,279.87857142857143,283.569
2019-12-26,2019,12,26,Thursday,51,2019-51,294.49,295.73,293.9,295.73,1101800,281.22,0.005098079123627697,280.0571428571429,283.5308
2019-12-27,2019,12,27,Friday,51,2019-51,296.22,296.3,293.18,294.11,1439100,279.68,-0.00547797648134829,280.00071428571425,283.45439999999996
2019-12-30,2019,12,30,Monday,52,2019-52,294.2,295.61,293.66,295.14,1238900,280.66,0.003502240185412786,280.00000000000006,283.3288
2019-12-31,2019,12,31,Tuesday,52,2019-52,295.0,295.45,292.18,293.92,1550700,279.5,-0.004133848078989866,279.87428571428575,283.1714
